"","elasticnet_log_p_f_glpk_30","rxn_id","rxn_name"
"X208",0.00487804878048781,"208","'C-14 sterol reductase'"
"X217",0.00487804878048781,"217","'C-4 sterol methyl oxidase (4,4-dimethylzymosterol)'"
"X241",0.0024390243902439,"241","'chitin synthase'"
"X242",0.0024390243902439,"242","'choline kinase'"
"X270",0.00121951219512195,"270","'CTP synthase (glutamine)'"
"X339",0.00853658536585367,"339","'formaldehyde dehydrogenase'"
"X340",0.00853658536585367,"340","'formate dehydrogenase'"
"X341",0.00121951219512195,"341","'formate-tetrahydrofolate ligase'"
"X388",0.00853658536585367,"388","'glycine cleavage system'"
"X392",0.00121951219512195,"392","'glycine-cleavage complex (lipoamide)'"
"X393",0.00121951219512195,"393","'glycine-cleavage complex (lipoylprotein)'"
"X394",0.00121951219512195,"394","'glycine-cleavage complex (lipoylprotein)'"
"X576",0.00121951219512195,"576","'mannose-6-phosphate isomerase'"
"X577",0.00853658536585367,"577","'methenyltetrahydrifikate cyclohydrolase'"
"X585",0.00121951219512195,"585","'methylenetetrahydrofolate dehydrogenase (NADP)'"
"X711",0.00121951219512195,"711","'poylamine oxidase'"
"X749",0.0024390243902439,"749","'ribosylnicotinamide kinase'"
"X802",0.0024390243902439,"802","'transaldolase'"
"X803",0.0024390243902439,"803","'transketolase 1'"
"X810",0.00487804878048781,"810","'tryptophanyl-tRNA synthetase'"
"X855",0.00365853658536586,"855","'adenosine transport'"
"X911",0.00853658536585367,"911","'isopentenyl diphosphate transport'"
"X944",0.00975609756097562,"944","'L-phenylalanine transport'"
"X999",0.0146341463414634,"999","'UTP/UMP antiport'"
"X1311",0.00121951219512195,"1311","'formate exchange'"
"X1326",0.00121951219512195,"1326","'glycine exchange'"
"X1339",0.00975609756097562,"1339","'guanosine transport'"
"X1377",0.00121951219512195,"1377","'isoamyl acetate exchange'"
"X1379",0.00121951219512195,"1379","'isoamyl alcohol transport'"
"X1387",0.00853658536585367,"1387","'L-2-amino-3-oxobutanoate decarboxylation (spontaneous)'"
"X1416",0.00975609756097562,"1416","'L-phenylalanine exchange'"
