"","lasso_log_p_f_glpk_30","rxn_id","rxn_name"
"X63",0.00487804878048781,"63","'5,10-methylenetetrahydrofolate reductase (NADPH)'"
"X911",0.00121951219512195,"911","'isopentenyl diphosphate transport'"
"X999",0.00609756097560976,"999","'UTP/UMP antiport'"
"X1170",0.00487804878048781,"1170","'5-aminolevulinate exchange'"
"X1387",0.00121951219512195,"1387","'L-2-amino-3-oxobutanoate decarboxylation (spontaneous)'"
"X1564",0.00609756097560976,"1564","'water diffusion'"
"X1840",0.00487804878048781,"1840","'diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-18:0), ER membrane'"
"X1842",0.00365853658536586,"1842","'diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-18:0), ER membrane'"
"X1850",0.0024390243902439,"1850","'diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-18:1), ER membrane'"
"X2875",0.00365853658536586,"2875","'IPC synthase (PI (1-16:1, 2-18:1) ceramide-1 (C24))'"
"X3237",0.0024390243902439,"3237","'diglyceride (1-18:0, 2-18:1) transport, ER membrane-Golgi membrane'"
"X3252",0.00365853658536586,"3252","'1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1) transport, ER membrane-Golgi membrane'"
"X848",0.00487804878048781,"848","'4-aminobutyrate transport'"
"X1169",0.00487804878048781,"1169","'5''-nucleotidase (XMP)'"
"X3419",0.00609756097560976,"3419","'isa fatty acid for stearate'"
"X3468",0.00487804878048781,"3468","'isa triglyceride for TAG (1-18:0, 2-16:1, 3-18:0)'"
"X3470",0.00365853658536586,"3470","'isa triglyceride for TAG (1-18:1, 2-16:1, 3-18:0)'"
"X3478",0.0024390243902439,"3478","'isa triglyceride for TAG (1-18:1, 2-16:1, 3-18:1)'"
