"","svm_p_f_glpk_30","rxn_id","rxn_name"
"X35",0.00365853658536586,"35","'3-dehydroquinate synthase'"
"X63",0.00121951219512195,"63","'5,10-methylenetetrahydrofolate reductase (NADPH)'"
"X90",0.00365853658536586,"90","'acetyl-Coa carboxylase'"
"X93",0.00121951219512195,"93","'acetyl-CoA synthetase'"
"X208",0.00609756097560976,"208","'C-14 sterol reductase'"
"X217",0.00609756097560976,"217","'C-4 sterol methyl oxidase (4,4-dimethylzymosterol)'"
"X245",0.00121951219512195,"245","'chorismate synthase'"
"X267",0.00121951219512195,"267","'citrate synthase, peroxisomal'"
"X272",0.0109756097560976,"272","'cystathionine b-lyase'"
"X273",0.0109756097560976,"273","'cystathionine beta-synthase'"
"X293",0.00365853658536586,"293","'deoxyribokinase'"
"X295",0.00365853658536586,"295","'dethiobiotin synthase'"
"X300",0.0024390243902439,"300","'dihydrofolate reductase'"
"X333",0.00609756097560976,"333","'ferrocytochrome-c:hydrogen-peroxide oxidoreductase'"
"X344",0.0109756097560976,"344","'fructose-bisphosphatase'"
"X345",0.00609756097560976,"345","'fructose-bisphosphate aldolase'"
"X357",0.00609756097560976,"357","'glucan 1,4-alpha-glucosidase, vacuole'"
"X359",0.00121951219512195,"359","'glucose 6-phosphate dehydrogenase'"
"X364",0.00731707317073171,"364","'glutamate dehydrogenase (NADP)'"
"X377",0.00731707317073171,"377","'glutathione synthetase'"
"X386",0.00365853658536586,"386","'glycinamide ribotide transformylase'"
"X391",0.00609756097560976,"391","'glycine-cleavage complex (lipoamide)'"
"X410",0.00487804878048781,"410","'guanine phosphoribosyltransferase'"
"X411",0.00487804878048781,"411","'guanylate kinase'"
"X568",0.00121951219512195,"568","'malate dehydrogenase'"
"X592",0.0109756097560976,"592","'mevalonate pyrophoshate decarboxylase'"
"X658",0.00609756097560976,"658","'orotidine-5''-phosphate decarboxylase'"
"X659",0.00609756097560976,"659","'oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase)'"
"X661",0.0121951219512195,"661","'pantetheine-phosphate adenylyltransferase'"
"X678",0.0109756097560976,"678","'phosphoethanolamine cytidyltransferase'"
"X683",0.0109756097560976,"683","'phosphoglucosamine mutase'"
"X684",0.00731707317073171,"684","'phosphoglycerate dehydrogenase'"
"X689",0.0121951219512195,"689","'phosphomevalonate kinase'"
"X690",0.0121951219512195,"690","'phosphopantothenate-cysteine ligase'"
"X691",0.00487804878048781,"691","'phosphopantothenoylcysteine decarboxylase'"
"X701",0.0109756097560976,"701","'phosphoribosylpyrophosphate synthetase'"
"X702",0.0109756097560976,"702","'phosphoserine phosphatase (L-serine)'"
"X711",0.00853658536585367,"711","'poylamine oxidase'"
"X726",0.00365853658536586,"726","'pyruvate carboxylase'"
"X728",0.00365853658536586,"728","'pyruvate decarboxylase (acetoin-forming)'"
"X737",0.00487804878048781,"737","'ribokinase'"
"X741",0.00487804878048781,"741","'ribonucleoside-triphosphate reductase (UTP)'"
"X747",0.00487804878048781,"747","'ribonucleotide reductase'"
"X757",0.00365853658536586,"757","'serine O-acetyltransferase'"
"X775",0.00609756097560976,"775","'squalene synthase'"
"X776",0.00609756097560976,"776","'succinate dehydrogenase (ubiquinone-6)'"
"X805",0.00731707317073171,"805","'trehalose-phosphatase'"
"X855",0.00609756097560976,"855","'adenosine transport'"
"X871",0.00609756097560976,"871","'choline transport'"
"X874",0.00365853658536586,"874","'citrate transport'"
"X901",0.00121951219512195,"901","'glycerol transport via channel'"
"X911",0.00365853658536586,"911","'isopentenyl diphosphate transport'"
"X920",0.0109756097560976,"920","'L-carnitine transport'"
"X927",0.00731707317073171,"927","'L-glutamine transport'"
"X959",0.00121951219512195,"959","'NAD transport'"
"X966",0.0121951219512195,"966","'oxaloacetate transport'"
"X969",0.00609756097560976,"969","'phenethyl acetate transport'"
"X999",0.00731707317073169,"999","'UTP/UMP antiport'"
"X1020",0.0109756097560976,"1020","'isa IPC'"
"X1080",0.0109756097560976,"1080","'isa MIPC'"
"X1111",0.0121951219512195,"1111","'(R)-mevalonate exchange'"
