,R2 Score,MAE,RMSE,MDAE,Spearman Correlation,Accuracy,Train Accuracy,Precision,Recall,F1-Score
SVM_T_10,0.7997775305895439,0.1,0.4472135954999579,0.0,0.9005004170528446,0.95,1.0,0.9505555555555555,0.95,0.9500138927479855
KNN_T_10,0.3993325917686318,0.3,0.7745966692414834,0.0,0.7216396688393493,0.85,1.0,0.8710648148148149,0.85,0.8485314685314685
LASSO_log_T_10,0.7330367074527253,0.13333333333333333,0.5163977794943222,0.0,0.8687430478309232,0.9333333333333333,1.0,0.9354097144975899,0.9333333333333333,0.9333333333333333
Elasticnet_T_10,0.7330367074527253,0.13333333333333333,0.5163977794943222,0.0,0.8687430478309232,0.9333333333333333,1.0,0.9354097144975899,0.9333333333333333,0.9333333333333333
SVM_T_F_10,0.7997775305895439,0.1,0.4472135954999579,0.0,0.9005004170528446,0.95,1.0,0.9505555555555555,0.95,0.9500138927479855
KNN_T_F_10,0.4660734149054505,0.26666666666666666,0.7302967433402214,0.0,0.7352614015572859,0.8666666666666667,1.0,0.8685947348906192,0.8666666666666667,0.8666666666666667
LASSO_log_T_F_10,0.7330367074527253,0.13333333333333333,0.5163977794943222,0.0,0.8665183537263625,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333
Elasticnet_T_F_10,0.7330367074527253,0.13333333333333333,0.5163977794943222,0.0,0.8665183537263625,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333
SVM_P_10,0.9292803970223324,0.03508771929824561,0.26490647141300877,0.0,0.9653494919339114,0.9824561403508771,1.0,0.9831059129304743,0.9824561403508771,0.9824778463325031
KNN_P_10,0.71712158808933,0.14035087719298245,0.5298129428260175,0.0,0.8657081202406209,0.9298245614035088,1.0,0.937844611528822,0.9298245614035088,0.9290271132376395
LASSO_log_P_10,0.858560794044665,0.07017543859649122,0.3746343246326776,0.0,0.9292803970223324,0.9649122807017544,1.0,0.9649122807017544,0.9649122807017544,0.9649122807017544
Elasticnet_P_10,0.858560794044665,0.07017543859649122,0.3746343246326776,0.0,0.9292803970223324,0.9649122807017544,0.9819819819819819,0.9649122807017544,0.9649122807017544,0.9649122807017544
SVM_P_F_10,0.7878411910669976,0.10526315789473684,0.45883146774112354,0.0,0.8998825779289578,0.9473684210526315,1.0,0.9528130671506352,0.9473684210526315,0.9474657367610088
KNN_P_F_10,0.71712158808933,0.14035087719298245,0.5298129428260175,0.0,0.8598577804857348,0.9298245614035088,1.0,0.931552365762892,0.9298245614035088,0.9295175438596491
